governorate_code,year,month,total_visitors,international_visitors,domestic_visitors,avg_occupancy_rate,total_rooms,total_beds,occupied_rooms,temp,temp_max,rain,ramadan_days,eid_fitr_days,eid_adha_days,ramadan_start_date,ramadan_end_date,eid_fitr_date,eid_adha_date,is_ramadan_month,is_eid_month,name,highway_distance_km,has_airport,major_roads,road_density,accessibility_score,weather_adjusted_visitors,ramadan_adjusted_occupancy,accessibility_efficiency,visitors_per_bed,rooms_per_1000,beds_per_1000,intl_pct,capacity_adequacy,seasonal_amplitude
AJL,2020,11,748,336,412,47,50,80,23,13.93,24.2,93.8,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Ajloun,20,False,1,low,40,679,47.0,18.7,9.35,66.84491978609626,106.95187165775401,44.919786096256686,11.711229946524064,74.06341094756543
AJL,2020,12,509,164,345,36,50,80,18,10.551612903225807,20.1,34.6,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Ajloun,20,False,1,low,40,436,36.0,12.725,6.3625,98.23182711198427,157.17092337917484,32.220039292730846,17.210216110019648,74.06341094756543
AJL,2021,1,460,219,241,34,50,80,17,9.216129032258063,19.1,83.5,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Ajloun,20,False,1,low,40,385,34.0,11.5,5.75,108.69565217391305,173.91304347826087,47.608695652173914,19.043478260869566,74.06341094756543
AJL,2021,2,673,320,353,39,50,80,19,9.953571428571427,19.8,67.9,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Ajloun,20,False,1,low,40,571,39.0,16.825,8.4125,74.29420505200595,118.8707280832095,47.5482912332838,13.016344725111441,74.06341094756543
AJL,2021,3,1003,356,647,63,50,80,31,11.261290322580646,27.2,41.4,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Ajloun,20,False,1,low,40,871,63.0,25.075,12.5375,49.85044865403788,79.76071784646062,35.49351944167498,8.733798604187438,74.06341094756543
AJL,2021,4,1068,474,594,68,50,80,34,16.993333333333332,33.2,8.700000000000001,18,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,True,False,Ajloun,20,False,1,low,40,1019,80.24,26.7,13.35,46.81647940074907,74.90636704119851,44.38202247191011,8.202247191011235,74.06341094756543
AJL,2021,5,822,293,529,55,50,80,27,22.009677419354837,34.3,0.0,12,3,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,True,True,Ajloun,20,False,1,low,40,797,61.60000000000001,20.55,10.275,60.82725060827251,97.32360097323601,35.64476885644769,10.656934306569344,74.06341094756543
AJL,2021,6,777,244,533,45,50,80,22,22.096666666666668,34.5,0.0,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Ajloun,20,False,1,low,40,752,45.0,19.425,9.7125,64.35006435006436,102.96010296010296,31.402831402831406,11.274131274131275,74.06341094756543
AJL,2021,7,633,310,323,38,50,80,19,25.35483870967742,36.5,0.8,0,0,4,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,True,Ajloun,20,False,1,low,40,582,38.0,15.825,7.9125,78.98894154818325,126.3823064770932,48.973143759873615,13.838862559241706,74.06341094756543
AJL,2021,8,606,265,341,33,50,80,16,26.14516129032258,36.5,0.0,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Ajloun,20,False,1,low,40,550,33.0,15.15,7.575,82.50825082508251,132.013201320132,43.72937293729373,14.455445544554456,74.06341094756543
AJL,2021,9,806,277,529,51,50,80,25,22.24,34.4,8.9,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Ajloun,20,False,1,low,40,778,51.0,20.15,10.075,62.03473945409429,99.25558312655087,34.36724565756824,10.868486352357321,74.06341094756543
AJL,2021,10,1041,485,556,66,50,80,33,19.496774193548383,29.9,10.0,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Ajloun,20,False,1,low,40,1033,66.0,26.025,13.0125,48.03073967339097,76.84918347742556,46.589817483189236,8.414985590778098,74.06341094756543
AJL,2021,11,850,274,576,49,50,80,24,15.706666666666669,25.0,15.9,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Ajloun,20,False,1,low,40,795,49.0,21.25,10.625,58.8235294117647,94.11764705882352,32.23529411764706,10.305882352941177,74.06341094756543
AJL,2021,12,573,211,362,34,50,80,17,9.65483870967742,19.0,56.5,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Ajloun,20,False,1,low,40,484,34.0,14.325,7.1625,87.26003490401396,139.61605584642234,36.82373472949389,15.287958115183246,74.06341094756543
AJL,2022,1,522,220,302,39,50,80,19,6.293548387096774,16.4,102.9,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False,Ajloun,20,False,1,low,40,414,39.0,13.05,6.525,95.78544061302682,153.2567049808429,42.1455938697318,16.7816091954023,74.06341094756543
AJL,2022,2,651,235,416,36,50,80,18,8.482142857142858,21.0,49.7,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False,Ajloun,20,False,1,low,40,538,36.0,16.275,8.1375,76.80491551459293,122.88786482334869,36.098310291858674,13.456221198156681,74.06341094756543
AJL,2022,3,799,276,523,55,50,80,27,7.6,21.6,85.3,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False,Ajloun,20,False,1,low,40,650,55.0,19.975,9.9875,62.5782227784731,100.12515644555694,34.54317897371715,10.963704630788486,74.06341094756543
AJL,2022,4,914,301,613,58,50,80,29,18.336666666666662,32.0,4.1,29,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,True,False,Ajloun,20,False,1,low,40,891,74.82000000000001,22.85,11.425,54.70459518599562,87.527352297593,32.93216630196937,9.584245076586432,74.06341094756543
AJL,2022,5,873,275,598,51,50,80,25,19.509677419354837,34.0,8.4,1,3,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,True,True,Ajloun,20,False,1,low,40,866,51.51,21.825,10.9125,57.273768613974795,91.63802978235967,31.500572737686138,10.034364261168385,74.06341094756543
AJL,2022,6,756,312,444,45,50,80,22,22.74,34.9,4.2,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False,Ajloun,20,False,1,low,40,724,45.0,18.9,9.45,66.13756613756614,105.82010582010581,41.269841269841265,11.587301587301587,74.06341094756543
AJL,2022,7,610,262,348,39,50,80,19,24.151612903225807,36.0,0.0,0,0,4,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,True,Ajloun,20,False,1,low,40,572,39.0,15.25,7.625,81.96721311475409,131.14754098360658,42.950819672131146,14.360655737704919,74.06341094756543
AJL,2022,8,756,326,430,44,50,80,22,25.719354838709677,38.2,0.0,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False,Ajloun,20,False,1,low,40,691,44.0,18.9,9.45,66.13756613756614,105.82010582010581,43.12169312169312,11.587301587301587,74.06341094756543
AJL,2022,9,869,281,588,51,50,80,25,23.69333333333333,35.3,0.0,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False,Ajloun,20,False,1,low,40,820,51.0,21.725,10.8625,57.537399309551205,92.05983889528194,32.336018411967785,10.080552359033371,74.06341094756543
AJL,2022,10,993,496,497,52,50,80,26,19.87741935483871,32.7,12.1,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False,Ajloun,20,False,1,low,40,991,52.0,24.825,12.4125,50.35246727089628,80.56394763343404,49.9496475327291,8.821752265861027,74.06341094756543
AJL,2022,11,681,272,409,46,50,80,23,14.17,23.9,39.1,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False,Ajloun,20,False,1,low,40,621,46.0,17.025,8.5125,73.42143906020559,117.47430249632893,39.94126284875183,12.863436123348018,74.06341094756543
AJL,2022,12,635,195,440,36,50,80,18,10.896774193548389,17.9,18.3,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False,Ajloun,20,False,1,low,40,548,36.0,15.875,7.9375,78.74015748031496,125.98425196850394,30.708661417322837,13.795275590551181,74.06341094756543
AJL,2023,1,586,248,338,32,50,80,16,8.961290322580645,18.8,37.2,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False,Ajloun,20,False,1,low,40,488,32.0,14.65,7.325,85.32423208191128,136.51877133105802,42.32081911262799,14.948805460750853,74.06341094756543
AJL,2023,2,629,261,368,33,50,80,16,7.310714285714285,21.5,91.7,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False,Ajloun,20,False,1,low,40,509,33.0,15.725,7.8625,79.4912559618442,127.1860095389507,41.49443561208267,13.926868044515103,74.06341094756543
AJL,2023,3,913,438,475,52,50,80,26,12.261290322580646,25.7,71.7,10,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,True,False,Ajloun,20,False,1,low,40,807,57.2,22.825,11.4125,54.76451259583789,87.62322015334064,47.973713033954,9.594742606790799,74.06341094756543
AJL,2023,4,1202,394,808,59,50,80,29,15.143333333333334,28.9,56.3,20,3,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,True,True,Ajloun,20,False,1,low,40,1114,70.8,30.05,15.025,41.597337770382694,66.55574043261231,32.77870216306156,7.287853577371048,74.06341094756543
AJL,2023,5,887,277,610,55,50,80,27,19.416129032258063,32.8,8.9,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False,Ajloun,20,False,1,low,40,879,55.0,22.175,11.0875,56.36978579481398,90.19165727170237,31.228861330326946,9.875986471251409,74.06341094756543
AJL,2023,6,799,244,555,44,50,80,22,22.103333333333335,33.8,4.6,0,0,1,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,True,Ajloun,20,False,1,low,40,773,44.0,19.975,9.9875,62.5782227784731,100.12515644555694,30.538172715894866,10.963704630788486,74.06341094756543
AJL,2023,7,536,242,294,29,50,80,14,26.351612903225806,36.2,0.0,0,0,3,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,True,Ajloun,20,False,1,low,40,484,29.0,13.4,6.7,93.28358208955224,149.25373134328356,45.149253731343286,16.34328358208955,74.06341094756543
AJL,2023,8,708,279,429,41,50,80,20,26.161290322580644,41.6,0.7,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False,Ajloun,20,False,1,low,40,642,41.0,17.7,8.85,70.62146892655367,112.99435028248587,39.40677966101695,12.372881355932204,74.06341094756543
AJL,2023,9,915,374,541,55,50,80,27,24.366666666666667,35.8,0.5,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False,Ajloun,20,False,1,low,40,855,55.0,22.875,11.4375,54.6448087431694,87.43169398907104,40.87431693989071,9.573770491803279,74.06341094756543
AJL,2023,10,1090,341,749,54,50,80,27,20.32903225806452,30.0,17.2,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False,Ajloun,20,False,1,low,40,1084,54.0,27.25,13.625,45.87155963302752,73.39449541284404,31.28440366972477,8.036697247706423,74.06341094756543
AJL,2023,11,698,327,371,52,50,80,26,16.12333333333333,27.3,79.3,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False,Ajloun,20,False,1,low,40,657,52.0,17.45,8.725,71.63323782234957,114.61318051575932,46.84813753581662,12.550143266475645,74.06341094756543
AJL,2023,12,594,181,413,34,50,80,17,11.52258064516129,20.9,57.1,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False,Ajloun,20,False,1,low,40,518,34.0,14.85,7.425,84.17508417508418,134.68013468013467,30.47138047138047,14.747474747474747,74.06341094756543
AJL,2024,1,556,220,336,33,50,80,16,9.3,18.2,91.5,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False,Ajloun,20,False,1,low,40,466,33.0,13.9,6.95,89.92805755395683,143.88489208633092,39.568345323741006,15.755395683453237,74.06341094756543
AJL,2024,2,693,327,366,39,50,80,19,8.758620689655173,17.9,61.6,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False,Ajloun,20,False,1,low,40,576,39.0,17.325,8.6625,72.15007215007215,115.44011544011543,47.18614718614719,12.64069264069264,74.06341094756543
AJL,2024,3,778,312,466,58,50,80,29,11.874193548387098,25.5,60.1,21,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,True,False,Ajloun,20,False,1,low,40,683,70.17999999999999,19.45,9.725,64.26735218508998,102.82776349614396,40.102827763496144,11.259640102827763,74.06341094756543
AJL,2024,4,1096,361,735,55,50,80,27,17.92,33.8,29.5,9,3,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,True,True,Ajloun,20,False,1,low,40,1061,59.95,27.4,13.7,45.62043795620438,72.992700729927,32.93795620437956,7.992700729927007,74.06341094756543
AJL,2024,5,916,361,555,53,50,80,26,19.029032258064515,32.2,21.1,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False,Ajloun,20,False,1,low,40,902,53.0,22.9,11.45,54.58515283842795,87.33624454148472,39.41048034934498,9.563318777292576,74.06341094756543
AJL,2024,6,741,264,477,46,50,80,23,27.196666666666665,38.5,0.0,0,0,4,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,True,Ajloun,20,False,1,low,40,661,46.0,18.525,9.2625,67.47638326585695,107.96221322537113,35.62753036437247,11.821862348178138,74.06341094756543
AJL,2024,7,642,246,396,28,50,80,14,26.083870967741937,36.0,0.1,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False,Ajloun,20,False,1,low,40,583,28.0,16.05,8.025,77.8816199376947,124.61059190031153,38.31775700934579,13.644859813084112,74.06341094756543
AJL,2024,8,721,240,481,43,50,80,21,25.225806451612904,34.5,0.0,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False,Ajloun,20,False,1,low,40,664,43.0,18.025,9.0125,69.34812760055478,110.95700416088766,33.287101248266296,12.149791955617198,74.06341094756543
AJL,2024,9,959,314,645,47,50,80,23,22.62,33.3,5.0,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False,Ajloun,20,False,1,low,40,921,47.0,23.975,11.9875,52.13764337851929,83.42022940563086,32.74244004171011,9.13451511991658,74.06341094756543
AJL,2024,10,931,284,647,60,50,80,30,18.90967741935484,32.0,3.1,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False,Ajloun,20,False,1,low,40,915,60.0,23.275,11.6375,53.70569280343717,85.92910848549947,30.50483351235231,9.40923737916219,74.06341094756543
AJL,2024,11,772,354,418,44,50,80,22,13.57,22.3,17.3,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False,Ajloun,20,False,1,low,40,697,44.0,19.3,9.65,64.76683937823833,103.62694300518135,45.854922279792746,11.347150259067357,74.06341094756543
AJL,2024,12,595,295,300,42,50,80,21,9.77741935483871,18.1,37.5,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False,Ajloun,20,False,1,low,40,503,42.0,14.875,7.4375,84.03361344537815,134.45378151260505,49.57983193277311,14.722689075630251,74.06341094756543
AJL,2025,1,455,154,301,37,50,80,18,8.864516129032259,17.9,6.699999999999999,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False,Ajloun,20,False,1,low,40,379,37.0,11.375,5.6875,109.89010989010988,175.82417582417582,33.84615384615385,19.252747252747252,74.06341094756543
AJL,2025,2,619,284,335,47,50,80,23,6.378571428571428,17.5,56.7,1,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,True,False,Ajloun,20,False,1,low,40,492,47.47,15.475,7.7375,80.77544426494346,129.24071082390952,45.880452342487885,14.151857835218093,74.06341094756543
AJL,2025,3,843,387,456,56,50,80,28,13.416129032258064,28.3,25.9,29,2,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,True,True,Ajloun,20,False,1,low,40,759,72.24000000000001,21.075,10.5375,59.31198102016608,94.89916963226571,45.90747330960854,10.391459074733095,74.06341094756543
AJL,2025,4,1130,451,679,65,50,80,32,16.24,32.0,25.5,0,1,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,True,Ajloun,20,False,1,low,40,1066,65.0,28.25,14.125,44.24778761061947,70.79646017699115,39.91150442477876,7.752212389380531,74.06341094756543
AJL,2025,5,1070,473,597,48,50,80,24,20.712903225806453,36.9,9.3,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False,Ajloun,20,False,1,low,40,1058,48.0,26.75,13.375,46.72897196261682,74.76635514018692,44.205607476635514,8.186915887850468,74.06341094756543
AJL,2025,6,803,344,459,41,50,80,20,23.886666666666667,35.0,0.0,0,0,4,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,True,Ajloun,20,False,1,low,40,756,41.0,20.075,10.0375,62.266500622665006,99.62640099626401,42.839352428393525,10.909090909090908,74.06341094756543
AJL,2025,7,625,203,422,31,50,80,15,25.483870967741936,35.5,0.0,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False,Ajloun,20,False,1,low,40,573,31.0,15.625,7.8125,80.0,128.0,32.48,14.016,74.06341094756543
AJL,2025,8,618,303,315,41,50,80,20,25.93548387096774,40.6,0.1,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False,Ajloun,20,False,1,low,40,562,41.0,15.45,7.725,80.90614886731392,129.44983818770226,49.029126213592235,14.174757281553399,74.06341094756543
AJL,2025,9,773,276,497,59,50,80,29,22.84,33.0,8.799999999999999,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False,Ajloun,20,False,1,low,40,740,59.0,19.325,9.6625,64.68305304010349,103.49288486416559,35.70504527813713,11.332470892626132,74.06341094756543
AJL,2025,10,1012,398,614,53,50,80,26,19.664516129032258,31.8,2.5,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False,Ajloun,20,False,1,low,40,1006,53.0,25.3,12.65,49.40711462450593,79.05138339920948,39.32806324110672,8.65612648221344,74.06341094756543
AJL,2025,11,896,404,492,46,50,80,23,17.240000000000002,29.5,26.6,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False,Ajloun,20,False,1,low,40,858,46.0,22.4,11.2,55.80357142857143,89.28571428571429,45.089285714285715,9.776785714285714,74.06341094756543
AJL,2025,12,549,238,311,38,50,80,19,9.770967741935484,19.2,94.0,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False,Ajloun,20,False,1,low,40,464,38.0,13.725,6.8625,91.07468123861565,145.71948998178507,43.35154826958106,15.956284153005464,74.06341094756543
AMM,2020,1,37576,11460,26116,52,1790,2990,930,7.174193548387097,15.3,126.0,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Amman,0,True,8,high,95,30346,52.0,395.53684210526313,12.56722408026756,47.63678944006813,79.57206727698531,30.49819033425591,8.713141366829891,77.31255875493633
AMM,2020,2,47850,17576,30274,55,1790,2990,984,8.89655172413793,17.7,84.8,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Amman,0,True,8,high,95,39880,55.0,503.6842105263158,16.00334448160535,37.4085684430512,62.48693834900732,36.731452455590386,6.842319749216301,77.31255875493633
AMM,2020,3,62559,23332,39227,72,1790,2990,1288,12.180645161290323,24.6,173.0,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Amman,0,True,8,high,95,55221,72.0,658.5157894736842,20.922742474916387,28.612989338064867,47.794881631739635,37.29599258300165,5.23353953867549,77.31255875493633
AMM,2020,4,80280,29136,51144,70,1790,2990,1253,15.216666666666669,27.6,23.5,7,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,True,False,Amman,0,True,8,high,95,74519,74.9,845.0526315789474,26.849498327759196,22.29696063776781,37.2446437468859,36.29297458893871,4.078288490284006,77.31255875493633
AMM,2020,5,75965,30828,45137,55,1790,2990,984,21.370967741935484,36.1,43.2,23,3,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,True,True,Amman,0,True,8,high,95,74402,67.65,799.6315789473684,25.406354515050168,23.563483183044823,39.360231685644706,40.5818469031791,4.309945369578095,77.31255875493633
AMM,2020,6,51877,21159,30718,57,1790,2990,1020,23.49,33.5,0.4,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Amman,0,True,8,high,95,49161,57.0,546.0736842105263,17.350167224080266,34.50469379493803,57.6363320932205,40.78686122944657,6.311178364207645,77.31255875493633
AMM,2020,7,41108,14073,27035,44,1790,2990,787,27.306451612903224,39.0,0.0,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Amman,0,True,8,high,95,36602,44.0,432.7157894736842,13.748494983277592,43.54383574973241,72.73523401770946,34.23421231877007,7.964508124939185,77.31255875493633
AMM,2020,8,41219,13456,27763,54,1790,2990,966,25.91290322580645,40.0,0.0,0,0,4,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,True,Amman,0,True,8,high,95,37563,54.0,433.88421052631577,13.78561872909699,43.42657512312283,72.53936291516048,32.64513937747155,7.943060239210073,77.31255875493633
AMM,2020,9,55600,26946,28654,58,1790,2990,1038,28.646666666666665,40.9,0.2,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Amman,0,True,8,high,95,48388,58.0,585.2631578947369,18.59531772575251,32.194244604316545,53.77697841726619,48.46402877697842,5.888579136690647,77.31255875493633
AMM,2020,10,67230,29828,37402,78,1790,2990,1396,23.72258064516129,33.0,0.6,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Amman,0,True,8,high,95,63475,78.0,707.6842105263158,22.48494983277592,26.62501859289008,44.474193068570585,44.367098021716494,4.869924141008478,77.31255875493633
AMM,2020,11,52790,21999,30791,57,1790,2990,1020,14.596666666666666,25.2,78.5,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Amman,0,True,8,high,95,48511,57.0,555.6842105263158,17.65551839464883,33.907937109301,56.639515059670394,41.67266527751468,6.202026899033908,77.31255875493633
AMM,2020,12,42985,18943,24042,42,1790,2990,751,11.13225806451613,21.2,20.6,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Amman,0,True,8,high,95,37267,42.0,452.4736842105263,14.376254180602007,41.64243340700244,69.55914854018843,44.06886123066186,7.616726765150634,77.31255875493633
AMM,2021,1,35240,12522,22718,47,1790,2990,841,9.774193548387096,20.3,81.0,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Amman,0,True,8,high,95,29834,47.0,370.94736842105266,11.785953177257525,50.79455164585698,84.84676503972759,35.533484676503974,9.29072077185017,77.31255875493633
AMM,2021,2,38917,12475,26442,58,1790,2990,1038,10.428571428571429,21.0,61.8,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Amman,0,True,8,high,95,33329,58.0,409.65263157894736,13.01571906354515,45.995323380527786,76.83017704345146,32.055399953747724,8.412904386257933,77.31255875493633
AMM,2021,3,55107,25532,29575,70,1790,2990,1253,12.238709677419354,28.3,33.3,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Amman,0,True,8,high,95,48691,70.0,580.0736842105263,18.430434782608696,32.48226178162484,54.258079735786744,46.33168200047181,5.941259731068648,77.31255875493633
AMM,2021,4,77081,27960,49121,78,1790,2990,1396,19.096666666666668,35.0,4.0,18,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,True,False,Amman,0,True,8,high,95,76036,92.03999999999999,811.3789473684211,25.77959866220736,23.22232456766259,38.790363383972704,36.27353044200257,4.247544790545011,77.31255875493633
AMM,2021,5,64188,23051,41137,66,1790,2990,1181,24.138709677419353,36.0,0.0,12,3,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,True,True,Amman,0,True,8,high,95,60203,73.92,675.6631578947369,21.467558528428093,27.886832429737645,46.581915622857856,35.9116968903845,5.100719760702935,77.31255875493633
AMM,2021,6,50008,18354,31654,50,1790,2990,895,23.88,34.9,0.0,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False,Amman,0,True,8,high,95,47097,50.0,526.4,16.725083612040134,35.794272916333384,59.7904335306351,36.702127659574465,6.547052471604543,77.31255875493633
